"ID","First Name","Last Name","Email","Phone","Source","Status","Pipeline Stage","Score","Assigned To","Tags","Created At"
"1","","","","9876543210","Facebook Lead Ads","new","","0","","","2026-07-31 07:15:22"
"2","","","","9876543211","LinkedIn","new","","0","","","2026-07-31 07:15:22"
"3","","","","9876543212","Organic Search","new","","0","","","2026-07-31 07:15:22"
"4","","","","9876543213","Organic Search","new","","0","","","2026-07-31 07:15:22"
"5","","","","9876543214","Organic Search","new","","0","","","2026-07-31 07:15:22"
"6","","","","9876543215","Facebook Lead Ads","new","","0","","","2026-07-31 07:15:22"
"7","","","","9876543216","Organic Search","new","","0","","","2026-07-31 07:15:22"
"8","","","","9876543217","LinkedIn","new","","0","","","2026-07-31 07:15:22"
"9","","","","9876543218","Website","new","","0","","","2026-07-31 07:15:22"
"10","","","","9876543219","Google Ads","new","","0","","","2026-07-31 07:15:22"
"11","","","","9876543220","Referral","new","","0","","","2026-07-31 07:15:22"
"12","","","","9876543221","Referral","new","","0","","","2026-07-31 07:15:22"
"13","","","","9876543222","LinkedIn","new","","0","","","2026-07-31 07:15:22"
"14","","","","9876543223","Website","new","","0","","","2026-07-31 07:15:22"
"15","","","","9876543224","Google Ads","new","","0","","","2026-07-31 07:15:22"
"16","","","","9876543225","LinkedIn","new","","0","","","2026-07-31 07:15:22"
"17","","","","9876543226","Facebook Lead Ads","new","","0","","","2026-07-31 07:15:22"
"18","","","","9876543227","Referral","new","","0","","","2026-07-31 07:15:22"
"19","","","","9876543228","Instagram","new","","0","","","2026-07-31 07:15:22"
"20","","","","9876543229","Organic Search","new","","0","","","2026-07-31 07:15:22"
"21","","","","9876543230","Organic Search","new","","0","","","2026-07-31 07:15:22"
"22","","","","9876543231","Google Ads","new","","0","","","2026-07-31 07:15:22"
"23","","","","9876543232","LinkedIn","new","","0","","","2026-07-31 07:15:22"
"24","","","","9876543233","Google Ads","new","","0","","","2026-07-31 07:15:22"
"25","","","","9876543234","Organic Search","new","","0","","","2026-07-31 07:15:22"
"26","","","","9876543235","Google Ads","new","","0","","","2026-07-31 07:15:22"
"27","","","","9876543236","Instagram","new","","0","","","2026-07-31 07:15:22"
"28","","","","9876543237","Google Ads","new","","0","","","2026-07-31 07:15:22"
"29","","","","9876543238","Google Ads","new","","0","","","2026-07-31 07:15:22"
"30","","","","9876543239","Google Ads","new","","0","","","2026-07-31 07:15:22"
"31","","","","9876543240","Google Ads","new","","0","","","2026-07-31 07:15:22"
"32","","","","9876543241","Website","new","","0","","","2026-07-31 07:15:22"
"33","","","","9876543242","Google Ads","new","","0","","","2026-07-31 07:15:22"
"34","","","","9876543243","Facebook Lead Ads","new","","0","","","2026-07-31 07:15:22"
"35","","","","9876543244","Organic Search","new","","0","","","2026-07-31 07:15:22"
"36","","","","9876543245","LinkedIn","new","","0","","","2026-07-31 07:15:22"
"37","","","","9876543246","LinkedIn","new","","0","","","2026-07-31 07:15:22"
"38","","","","9876543247","LinkedIn","new","","0","","","2026-07-31 07:15:22"
"39","","","","9876543248","Facebook Lead Ads","new","","0","","","2026-07-31 07:15:22"
"40","","","","9876543249","Instagram","new","","0","","","2026-07-31 07:15:22"
"41","","","","9876543250","Instagram","new","","0","","","2026-07-31 07:15:22"
"42","","","","9876543251","Instagram","new","","0","","","2026-07-31 07:15:22"
"43","","","","9876543252","Referral","new","","0","","","2026-07-31 07:15:22"
"44","","","","9876543253","Website","new","","0","","","2026-07-31 07:15:22"
"45","","","","9876543254","Instagram","new","","0","","","2026-07-31 07:15:22"
"46","","","","9876543255","Instagram","new","","0","","","2026-07-31 07:15:22"
"47","","","","9876543256","Google Ads","new","","0","","","2026-07-31 07:15:22"
"48","","","","9876543257","Instagram","new","","0","","","2026-07-31 07:15:22"
"49","","","","9876543258","Referral","new","","0","","","2026-07-31 07:15:22"
"50","","","","9876543259","Instagram","new","","0","","","2026-07-31 07:15:22"
